type;period;value;invlevel;mtlevel
y(Total Production);1;9;inv(low);mt(low)
y(Total Production);2;11;inv(low);mt(low)
y(Total Production);3;12;inv(low);mt(low)
y(Total Production);4;11.4;inv(low);mt(low)
y(Total Production);5;12.6;inv(low);mt(low)
y(Total Production);6;12.6;inv(low);mt(low)
y(Total Production);7;12.6;inv(low);mt(low)
y(Total Production);8;12.6;inv(low);mt(low)
y(Total Production);9;13.2;inv(low);mt(low)
y(Total Production);10;15;inv(low);mt(low)
u(WIP);1;0;inv(low);mt(low)
u(WIP);2;-1.2;inv(low);mt(low)
u(WIP);3;-1.8;inv(low);mt(low)
u(WIP);4;-3;inv(low);mt(low)
u(WIP);5;-3;inv(low);mt(low)
u(WIP);6;-3;inv(low);mt(low)
u(WIP);7;-3;inv(low);mt(low)
u(WIP);8;-3;inv(low);mt(low)
u(WIP);9;-2.4;inv(low);mt(low)
u(WIP);10;0;inv(low);mt(low)
i(End Item);1;0;inv(low);mt(low)
i(End Item);2;0;inv(low);mt(low)
i(End Item);3;0;inv(low);mt(low)
i(End Item);4;-1.4;inv(low);mt(low)
i(End Item);5;-2;inv(low);mt(low)
i(End Item);6;-1.6;inv(low);mt(low)
i(End Item);7;-1.2;inv(low);mt(low)
i(End Item);8;-0.8;inv(low);mt(low)
i(End Item);9;0;inv(low);mt(low)
i(End Item);10;0;inv(low);mt(low)
y(Total Production);1;9;inv(med);mt(low)
y(Total Production);2;11;inv(med);mt(low)
y(Total Production);3;12;inv(med);mt(low)
y(Total Production);4;10;inv(med);mt(low)
y(Total Production);5;12;inv(med);mt(low)
y(Total Production);6;13;inv(med);mt(low)
y(Total Production);7;13;inv(med);mt(low)
y(Total Production);8;13;inv(med);mt(low)
y(Total Production);9;14;inv(med);mt(low)
y(Total Production);10;15;inv(med);mt(low)
u(WIP);1;0;inv(med);mt(low)
u(WIP);2;-1.2;inv(med);mt(low)
u(WIP);3;-1.8;inv(med);mt(low)
u(WIP);4;-4.4;inv(med);mt(low)
u(WIP);5;-5;inv(med);mt(low)
u(WIP);6;-4.6;inv(med);mt(low)
u(WIP);7;-4.2;inv(med);mt(low)
u(WIP);8;-3.8;inv(med);mt(low)
u(WIP);9;-2.4;inv(med);mt(low)
u(WIP);10;0;inv(med);mt(low)
i(End Item);1;0;inv(med);mt(low)
i(End Item);2;0;inv(med);mt(low)
