days;total_demand;total_production;total_wip;total_enditem;time;invlevel;mtlevel
1;9;9;1.4;0;60.57692308;inv(low);mt(low)
2;14;14;0;0;50;inv(low);mt(low)
3;8;8;0;0;78.75;inv(low);mt(low)
4;10;10;1.4;0;55.26315789;inv(low);mt(low)
5;14;14;0;0;50;inv(low);mt(low)
6;9;9;0;0;70;inv(low);mt(low)
7;7;7.2;3;0.2;61.76470588;inv(low);mt(low)
8;11;12.6;3;1.8;50;inv(low);mt(low)
9;15;13.6;2;0.4;50;inv(low);mt(low)
10;15;14.6;0;0;50;inv(low);mt(low)
11;6;6.4;0;0.4;80;inv(low);mt(low)
12;13;12.6;0;0;50;inv(low);mt(low)
13;9;9;0.6;0;65.625;inv(low);mt(low)
14;11;11;2.2;0;50;inv(low);mt(low)
15;14;14;0.8;0;50;inv(low);mt(low)
16;13;13;0.4;0;50;inv(low);mt(low)
17;11;11;2;0;50;inv(low);mt(low)
18;11;11.6;3;0.6;50;inv(low);mt(low)
19;12;12.6;3;1.2;50;inv(low);mt(low)
20;13;12.6;3;0.8;50;inv(low);mt(low)
21;13;12.6;3;0.4;50;inv(low);mt(low)
22;10;12.6;3;3;50;inv(low);mt(low)
23;12;12.6;3;3.6;50;inv(low);mt(low)
24;13;12.6;3;3.2;50;inv(low);mt(low)
25;13;12.6;3;2.8;50;inv(low);mt(low)
26;15;12.6;3;0.4;50;inv(low);mt(low)
27;16;15.6;0;0;50;inv(low);mt(low)
28;11;11;0;0;57.27272727;inv(low);mt(low)
29;8;8;0;0;78.75;inv(low);mt(low)
30;10;10;0;0;63;inv(low);mt(low)
1;9;9;1.4;0;60.57692308;inv(med);mt(low)
2;14;14;0;0;50;inv(med);mt(low)
3;8;8;0;0;78.75;inv(med);mt(low)
4;10;10;1.4;0;55.26315789;inv(med);mt(low)
5;14;14;0;0;50;inv(med);mt(low)
6;9;9;0;0;70;inv(med);mt(low)
7;7;7;3.2;0;61.76470588;inv(med);mt(low)
8;11;12.8;3;1.8;50;inv(med);mt(low)
9;15;13.6;2;0.4;50;inv(med);mt(low)
10;15;14.6;0;0;50;inv(med);mt(low)
11;6;6.4;0;0.4;80;inv(med);mt(low)
12;13;12.6;0;0;50;inv(med);mt(low)
13;9;9;0.6;0;65.625;inv(med);mt(low)
14;11;11;2.2;0;50;inv(med);mt(low)
15;14;14;0.8;0;50;inv(med);mt(low)
16;13;13;0.4;0;50;inv(med);mt(low)
17;11;11;2;0;50;inv(med);mt(low)
18;11;11;3.6;0;50;inv(med);mt(low)
19;12;12;4.2;0;50;inv(med);mt(low)
20;13;13;3.8;0;50;inv(med);mt(low)
21;13;13;3.4;0;50;inv(med);mt(low)
22;10;10;6;0;50;inv(med);mt(low)
23;12;12.6;6;0.6;50;inv(med);mt(low)
24;13;12.6;6;0.2;50;inv(med);mt(low)
25;13;12.8;5.8;0;50;inv(med);mt(low)
26;15;15;3.4;0;50;inv(med);mt(low)
27;16;16;0;0;50;inv(med);mt(low)
28;11;11;0;0;57.27272727;inv(med);mt(low)
29;8;8;0;0;78.75;inv(med);mt(low)
30;10;10;0;0;63;inv(med);mt(low)
1;9;9;1.4;0;60.57692308;inv(high);mt(low)
2;14;14;0;0;50;inv(high);mt(low)
3;8;8;0;0;78.75;inv(high);mt(low)
4;10;10;1.4;0;55.26315789;inv(high);mt(low)
5;14;14;0;0;50;inv(high);mt(low)
6;9;9;0;0;70;inv(high);mt(low)
7;7;7;3.2;0;61.76470588;inv(high);mt(low)
8;11;12.8;3;1.8;50;inv(high);mt(low)
9;15;13.6;2;0.4;50;inv(high);mt(low)
10;15;14.6;0;0;50;inv(high);mt(low)
11;6;6.4;0;0.4;80;inv(high);mt(low)
12;13;12.6;0;0;50;inv(high);mt(low)
13;9;9;0.6;0;65.625;inv(high);mt(low)
14;11;11;2.2;0;50;inv(high);mt(low)
15;14;14;0.8;0;50;inv(high);mt(low)
16;13;13;0.4;0;50;inv(high);mt(low)
17;11;11;2;0;50;inv(high);mt(low)
18;11;11;3.6;0;50;inv(high);mt(low)
19;12;12;4.2;0;50;inv(high);mt(low)
20;13;13;3.8;0;50;inv(high);mt(low)
21;13;13;3.4;0;50;inv(high);mt(low)
22;10;10;6;0;50;inv(high);mt(low)
23;12;12;6.6;0;50;inv(high);mt(low)
24;13;13;6.2;0;50;inv(high);mt(low)
25;13;13;5.8;0;50;inv(high);mt(low)
26;15;15;3.4;0;50;inv(high);mt(low)
27;16;16;0;0;50;inv(high);mt(low)
28;11;11;0;0;57.27272727;inv(high);mt(low)
29;8;8;0;0;78.75;inv(high);mt(low)
30;10;10;0;0;63;inv(high);mt(low)
1;9;9;0;0;80;inv(low);mt(med)
2;14;14;0;0;51.42857143;inv(low);mt(med)
3;8;8;0;0;80;inv(low);mt(med)
4;10;10;0;0;72;inv(low);mt(med)
5;14;14;0;0;51.42857143;inv(low);mt(med)
6;9;9;0;0;80;inv(low);mt(med)
7;7;7;0;0;80;inv(low);mt(med)
8;11;11;1.2;0;59.01639344;inv(low);mt(med)
9;15;15;0.6;0;50;inv(low);mt(med)
10;15;15;0;0;50;inv(low);mt(med)
11;6;6;0;0;80;inv(low);mt(med)
12;13;13;0;0;55.38461538;inv(low);mt(med)
13;9;9;0;0;80;inv(low);mt(med)
14;11;11;0;0;65.45454545;inv(low);mt(med)
15;14;14;0;0;51.42857143;inv(low);mt(med)
16;13;13;0;0;55.38461538;inv(low);mt(med)
17;11;11;0;0;65.45454545;inv(low);mt(med)
18;11;11;0;0;65.45454545;inv(low);mt(med)
19;12;12;0;0;60;inv(low);mt(med)
20;13;13;0;0;55.38461538;inv(low);mt(med)
21;13;13;0;0;55.38461538;inv(low);mt(med)
22;10;10;0;0;72;inv(low);mt(med)
23;12;12;0;0;60;inv(low);mt(med)
24;13;13;0.8;0;52.17391304;inv(low);mt(med)
25;13;13;2.2;0;50;inv(low);mt(med)
26;15;15;1.6;0;50;inv(low);mt(med)
27;16;16;0;0;50;inv(low);mt(med)
28;11;11;0;0;65.45454545;inv(low);mt(med)
29;8;8;0;0;80;inv(low);mt(med)
30;10;10;0;0;72;inv(low);mt(med)
1;9;9;0;0;80;inv(med);mt(med)
2;14;14;0;0;51.42857143;inv(med);mt(med)
3;8;8;0;0;80;inv(med);mt(med)
4;10;10;0;0;72;inv(med);mt(med)
5;14;14;0;0;51.42857143;inv(med);mt(med)
6;9;9;0;0;80;inv(med);mt(med)
7;7;7;0;0;80;inv(med);mt(med)
8;11;11;1.2;0;59.01639344;inv(med);mt(med)
9;15;15;0.6;0;50;inv(med);mt(med)
10;15;15;0;0;50;inv(med);mt(med)
11;6;6;0;0;80;inv(med);mt(med)
12;13;13;0;0;55.38461538;inv(med);mt(med)
13;9;9;0;0;80;inv(med);mt(med)
14;11;11;0;0;65.45454545;inv(med);mt(med)
15;14;14;0;0;51.42857143;inv(med);mt(med)
16;13;13;0;0;55.38461538;inv(med);mt(med)
17;11;11;0;0;65.45454545;inv(med);mt(med)
18;11;11;0;0;65.45454545;inv(med);mt(med)
19;12;12;0;0;60;inv(med);mt(med)
20;13;13;0;0;55.38461538;inv(med);mt(med)
21;13;13;0;0;55.38461538;inv(med);mt(med)
22;10;10;0;0;72;inv(med);mt(med)
23;12;12;0;0;60;inv(med);mt(med)
24;13;13;0.8;0;52.17391304;inv(med);mt(med)
25;13;13;2.2;0;50;inv(med);mt(med)
26;15;15;1.6;0;50;inv(med);mt(med)
27;16;16;0;0;50;inv(med);mt(med)
28;11;11;0;0;65.45454545;inv(med);mt(med)
29;8;8;0;0;80;inv(med);mt(med)
30;10;10;0;0;72;inv(med);mt(med)
1;9;9;0;0;80;inv(high);mt(med)
2;14;14;0;0;51.42857143;inv(high);mt(med)
3;8;8;0;0;80;inv(high);mt(med)
4;10;10;0;0;72;inv(high);mt(med)
5;14;14;0;0;51.42857143;inv(high);mt(med)
6;9;9;0;0;80;inv(high);mt(med)
7;7;7;0;0;80;inv(high);mt(med)
8;11;11;1.2;0;59.01639344;inv(high);mt(med)
9;15;15;0.6;0;50;inv(high);mt(med)
10;15;15;0;0;50;inv(high);mt(med)
11;6;6;0;0;80;inv(high);mt(med)
12;13;13;0;0;55.38461538;inv(high);mt(med)
13;9;9;0;0;80;inv(high);mt(med)
14;11;11;0;0;65.45454545;inv(high);mt(med)
15;14;14;0;0;51.42857143;inv(high);mt(med)
16;13;13;0;0;55.38461538;inv(high);mt(med)
17;11;11;0;0;65.45454545;inv(high);mt(med)
18;11;11;0;0;65.45454545;inv(high);mt(med)
19;12;12;0;0;60;inv(high);mt(med)
20;13;13;0;0;55.38461538;inv(high);mt(med)
21;13;13;0;0;55.38461538;inv(high);mt(med)
22;10;10;0;0;72;inv(high);mt(med)
23;12;12;0;0;60;inv(high);mt(med)
24;13;13;0.8;0;52.17391304;inv(high);mt(med)
25;13;13;2.2;0;50;inv(high);mt(med)
26;15;15;1.6;0;50;inv(high);mt(med)
27;16;16;0;0;50;inv(high);mt(med)
28;11;11;0;0;65.45454545;inv(high);mt(med)
29;8;8;0;0;80;inv(high);mt(med)
30;10;10;0;0;72;inv(high);mt(med)
1;9;9;0;0;80;inv(low);mt(high)
2;14;14;0;0;57.85714286;inv(low);mt(high)
3;8;8;0;0;80;inv(low);mt(high)
4;10;10;0;0;80;inv(low);mt(high)
5;14;14;0;0;57.85714286;inv(low);mt(high)
6;9;9;0;0;80;inv(low);mt(high)
7;7;7;0;0;80;inv(low);mt(high)
8;11;11;0;0;73.63636364;inv(low);mt(high)
9;15;15;0;0;54;inv(low);mt(high)
10;15;15;0;0;54;inv(low);mt(high)
11;6;6;0;0;80;inv(low);mt(high)
12;13;13;0;0;62.30769231;inv(low);mt(high)
13;9;9;0;0;80;inv(low);mt(high)
14;11;11;0;0;73.63636364;inv(low);mt(high)
15;14;14;0;0;57.85714286;inv(low);mt(high)
16;13;13;0;0;62.30769231;inv(low);mt(high)
17;11;11;0;0;73.63636364;inv(low);mt(high)
18;11;11;0;0;73.63636364;inv(low);mt(high)
19;12;12;0;0;67.5;inv(low);mt(high)
20;13;13;0;0;62.30769231;inv(low);mt(high)
21;13;13;0;0;62.30769231;inv(low);mt(high)
22;10;10;0;0;80;inv(low);mt(high)
23;12;12;0;0;67.5;inv(low);mt(high)
24;13;13;0;0;62.30769231;inv(low);mt(high)
25;13;13;0;0;62.30769231;inv(low);mt(high)
26;15;15;0;0;54;inv(low);mt(high)
27;16;16;0;0;50.625;inv(low);mt(high)
28;11;11;0;0;73.63636364;inv(low);mt(high)
29;8;8;0;0;80;inv(low);mt(high)
30;10;10;0;0;80;inv(low);mt(high)
1;9;9;0;0;80;inv(med);mt(high)
2;14;14;0;0;57.85714286;inv(med);mt(high)
3;8;8;0;0;80;inv(med);mt(high)
4;10;10;0;0;80;inv(med);mt(high)
5;14;14;0;0;57.85714286;inv(med);mt(high)
6;9;9;0;0;80;inv(med);mt(high)
7;7;7;0;0;80;inv(med);mt(high)
8;11;11;0;0;73.63636364;inv(med);mt(high)
9;15;15;0;0;54;inv(med);mt(high)
10;15;15;0;0;54;inv(med);mt(high)
11;6;6;0;0;80;inv(med);mt(high)
12;13;13;0;0;62.30769231;inv(med);mt(high)
13;9;9;0;0;80;inv(med);mt(high)
14;11;11;0;0;73.63636364;inv(med);mt(high)
15;14;14;0;0;57.85714286;inv(med);mt(high)
16;13;13;0;0;62.30769231;inv(med);mt(high)
17;11;11;0;0;73.63636364;inv(med);mt(high)
18;11;11;0;0;73.63636364;inv(med);mt(high)
19;12;12;0;0;67.5;inv(med);mt(high)
20;13;13;0;0;62.30769231;inv(med);mt(high)
21;13;13;0;0;62.30769231;inv(med);mt(high)
22;10;10;0;0;80;inv(med);mt(high)
23;12;12;0;0;67.5;inv(med);mt(high)
24;13;13;0;0;62.30769231;inv(med);mt(high)
25;13;13;0;0;62.30769231;inv(med);mt(high)
26;15;15;0;0;54;inv(med);mt(high)
27;16;16;0;0;50.625;inv(med);mt(high)
28;11;11;0;0;73.63636364;inv(med);mt(high)
29;8;8;0;0;80;inv(med);mt(high)
30;10;10;0;0;80;inv(med);mt(high)
1;9;9;0;0;80;inv(high);mt(high)
2;14;14;0;0;57.85714286;inv(high);mt(high)
3;8;8;0;0;80;inv(high);mt(high)
4;10;10;0;0;80;inv(high);mt(high)
5;14;14;0;0;57.85714286;inv(high);mt(high)
6;9;9;0;0;80;inv(high);mt(high)
7;7;7;0;0;80;inv(high);mt(high)
8;11;11;0;0;73.63636364;inv(high);mt(high)
9;15;15;0;0;54;inv(high);mt(high)
10;15;15;0;0;54;inv(high);mt(high)
11;6;6;0;0;80;inv(high);mt(high)
12;13;13;0;0;62.30769231;inv(high);mt(high)
13;9;9;0;0;80;inv(high);mt(high)
14;11;11;0;0;73.63636364;inv(high);mt(high)
15;14;14;0;0;57.85714286;inv(high);mt(high)
16;13;13;0;0;62.30769231;inv(high);mt(high)
17;11;11;0;0;73.63636364;inv(high);mt(high)
18;11;11;0;0;73.63636364;inv(high);mt(high)
19;12;12;0;0;67.5;inv(high);mt(high)
20;13;13;0;0;62.30769231;inv(high);mt(high)
21;13;13;0;0;62.30769231;inv(high);mt(high)
22;10;10;0;0;80;inv(high);mt(high)
23;12;12;0;0;67.5;inv(high);mt(high)
24;13;13;0;0;62.30769231;inv(high);mt(high)
25;13;13;0;0;62.30769231;inv(high);mt(high)
26;15;15;0;0;54;inv(high);mt(high)
27;16;16;0;0;50.625;inv(high);mt(high)
28;11;11;0;0;73.63636364;inv(high);mt(high)
29;8;8;0;0;80;inv(high);mt(high)
30;10;10;0;0;80;inv(high);mt(high)
